iter	Passed	Remaining
348	2405	1571
349	2412	1564
350	2418	1557
351	2424	1549
352	2431	1542
353	2438	1536
354	2444	1528
355	2451	1521
356	2459	1515
357	2466	1508
358	2473	1501
359	2479	1494
360	2486	1488
361	2492	1480
362	2500	1474
363	2507	1467
364	2515	1461
365	2521	1453
366	2527	1446
367	2532	1438
368	2538	1431
369	2545	1424
370	2550	1416
371	2558	1409
372	2565	1403
373	2572	1396
374	2578	1389
375	2585	1382
376	2592	1375
377	2599	1368
378	2605	1361
379	2611	1353
380	2619	1347
381	2625	1340
382	2631	1333
383	2638	1326
384	2644	1319
385	2653	1312
386	2659	1305
387	2666	1298
388	2672	1291
389	2679	1284
390	2685	1277
391	2692	1270
392	2698	1263
393	2706	1257
394	2712	1249
395	2718	1242
396	2724	1235
397	2731	1228
398	2738	1221
399	2744	1214
400	2752	1207
401	2759	1201
402	2765	1194
403	2773	1187
404	2779	1180
405	2785	1173
406	2792	1166
407	2799	1159
408	2805	1152
409	2811	1145
410	2818	1138
411	2826	1132
412	2833	1125
413	2840	1118
414	2846	1111
415	2852	1103
